Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
40	atmos	1421956534.063	     0.693	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/hfss/CLMcom/ICHEC-EC-EARTH/CCLM4-8-17/r12i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
41	atmos	1421956534.762	     1.251	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/vas/CLMcom/CNRM-CERFACS-CNRM-CM5/CCLM4-8-17/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
42	atmos	1421956536.020	     0.716	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/uas/CLMcom/CNRM-CERFACS-CNRM-CM5/CCLM4-8-17/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
43	atmos	1421956536.742	     0.727	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/vas/CLMcom/CNRM-CERFACS-CNRM-CM5/CCLM4-8-17/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
44	atmos	1421956537.475	     1.550	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/uas/CLMcom/CNRM-CERFACS-CNRM-CM5/CCLM4-8-17/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
45	atmos	1421956539.031	     0.729	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/vas/CLMcom/MPI-M-MPI-ESM-LR/CCLM4-8-17/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
46	atmos	1421956539.766	     0.588	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/vas/CLMcom/ICHEC-EC-EARTH/CCLM4-8-17/r12i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
47	atmos	1421956540.360	     1.897	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/vas/CLMcom/MPI-M-MPI-ESM-LR/CCLM4-8-17/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
48	atmos	1421956542.263	     0.815	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/vas/CLMcom/ICHEC-EC-EARTH/CCLM4-8-17/r12i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
49	atmos	1421956543.084	     0.655	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/uas/CLMcom/ICHEC-EC-EARTH/CCLM4-8-17/r12i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
50	atmos	1421956543.746	     1.605	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/uas/CLMcom/ICHEC-EC-EARTH/CCLM4-8-17/r12i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
51	atmos	1421956545.357	     0.572	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/uas/IPSL-INERIS/IPSL-IPSL-CM5A-MR/WRF331F/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
52	atmos	1421956545.937	     0.697	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/uas/IPSL-INERIS/IPSL-IPSL-CM5A-MR/WRF331F/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
53	atmos	1421956546.643	     1.713	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/uas/CLMcom/MPI-M-MPI-ESM-LR/CCLM4-8-17/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
54	atmos	1421956548.364	     0.582	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/uas/CLMcom/MPI-M-MPI-ESM-LR/CCLM4-8-17/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
55	atmos	1421956548.954	     0.710	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/hfls/IPSL-INERIS/IPSL-IPSL-CM5A-MR/WRF331F/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
56	atmos	1421956549.671	     0.637	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/hfls/IPSL-INERIS/IPSL-IPSL-CM5A-MR/WRF331F/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
36	atmos	1421956526.072	   529.243	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./unlinked/2015-01-19/EUR-11/rcp85/day/pr/MPI-CSC/MPI-M-MPI-ESM-LR/REMO2009/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
58	atmos	1421957055.322	   490.611	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./unlinked/2015-01-19/EUR-11/rcp85/day/tauv/MPI-CSC/MPI-M-MPI-ESM-LR/REMO2009/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
57	atmos	1421956550.314	  1062.264	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./unlinked/2015-01-19/EUR-11/rcp45/day/tauv/MPI-CSC/MPI-M-MPI-ESM-LR/REMO2009/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
13	thermo	1421955397.038	  2528.927	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/sic/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
15	thermo	1421955397.250	  2530.474	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/mrros/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
12	thermo	1421955396.929	  2531.970	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/snc/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
6	bio	1421955396.255	  2645.602	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/mrso/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
7	bio	1421955396.363	  2660.054	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/mrros/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
10	bio	1421955396.702	  2667.778	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/snm/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
9	bio	1421955396.592	  2674.842	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/snw/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
60	atmos	1421957612.585	   976.661	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/evspsbl/CLMcom/CNRM-CERFACS-CNRM-CM5/CCLM4-8-17/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
3	litho	1421955395.909	  3236.904	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/snd/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
1	litho	1421955395.684	  3257.308	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/snw/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
4	litho	1421955396.022	  3270.383	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/snc/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
71	litho	1421958666.412	     5.153	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/evspsbl/IPSL-INERIS/IPSL-IPSL-CM5A-MR/WRF331F/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
72	litho	1421958671.571	     6.053	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/evspsbl/IPSL-INERIS/IPSL-IPSL-CM5A-MR/WRF331F/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
73	litho	1421958677.633	     4.899	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/va850/KNMI/ICHEC-EC-EARTH/RACMO22E/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
74	litho	1421958682.536	     5.746	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/va850/KNMI/ICHEC-EC-EARTH/RACMO22E/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
63	thermo	1421957928.906	  1057.381	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./unlinked/2015-01-19/EUR-11/rcp85/day/hfss/MPI-CSC/MPI-M-MPI-ESM-LR/REMO2009/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
61	thermo	1421957925.973	  1065.297	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./unlinked/2015-01-19/EUR-11/rcp45/day/tauu/MPI-CSC/MPI-M-MPI-ESM-LR/REMO2009/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
77	thermo	1421958991.277	     1.693	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/va850/CLMcom/CNRM-CERFACS-CNRM-CM5/CCLM4-8-17/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
64	bio	1421958041.865	  1067.345	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./unlinked/2015-01-19/EUR-11/rcp45/day/hfss/MPI-CSC/MPI-M-MPI-ESM-LR/REMO2009/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
79	bio	1421959109.219	     1.120	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/va850/CLMcom/CNRM-CERFACS-CNRM-CM5/CCLM4-8-17/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
67	bio	1421958071.442	  1280.194	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/evspsbl/CLMcom/MPI-M-MPI-ESM-LR/CCLM4-8-17/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
66	bio	1421958064.487	  1290.250	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/evspsbl/CLMcom/MPI-M-MPI-ESM-LR/CCLM4-8-17/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
70	litho	1421958652.997	  1085.259	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./unlinked/2015-01-19/EUR-11/rcp85/day/vas/MPI-CSC/MPI-M-MPI-ESM-LR/REMO2009/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
76	thermo	1421958986.292	   764.223	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./unlinked/2015-01-19/EUR-11/rcp45/day/hfls/MPI-CSC/MPI-M-MPI-ESM-LR/REMO2009/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
84	thermo	1421959750.526	     1.083	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/va850/CLMcom/ICHEC-EC-EARTH/CCLM4-8-17/r12i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
85	thermo	1421959751.620	     1.450	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/va850/CLMcom/MPI-M-MPI-ESM-LR/CCLM4-8-17/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
78	thermo	1421958992.975	   805.065	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./unlinked/2015-01-19/EUR-11/rcp45/day/uas/MPI-CSC/MPI-M-MPI-ESM-LR/REMO2009/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
87	thermo	1421959798.047	     1.103	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/va850/CLMcom/ICHEC-EC-EARTH/CCLM4-8-17/r12i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
88	thermo	1421959799.156	     0.667	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/va850/CLMcom/MPI-M-MPI-ESM-LR/CCLM4-8-17/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
89	thermo	1421959799.828	     0.892	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/hfls/CLMcom/CNRM-CERFACS-CNRM-CM5/CCLM4-8-17/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
90	thermo	1421959800.725	     0.653	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/hfls/CLMcom/CNRM-CERFACS-CNRM-CM5/CCLM4-8-17/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
5	litho	1421955396.133	  4407.776	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/sic/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
2	litho	1421955395.795	  4429.174	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/snm/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
69	litho	1421958632.819	  1200.509	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./unlinked/2015-01-19/EUR-11/rcp45/day/vas/MPI-CSC/MPI-M-MPI-ESM-LR/REMO2009/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
8	bio	1421955396.470	  4445.006	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/mrro/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
11	thermo	1421955396.807	  4468.677	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/snd/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
14	thermo	1421955397.146	  4470.009	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/mrso/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
97	thermo	1421959867.164	     2.043	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/hfls/CLMcom/MPI-M-MPI-ESM-LR/CCLM4-8-17/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
98	thermo	1421959869.214	     3.082	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/hfls/CLMcom/MPI-M-MPI-ESM-LR/CCLM4-8-17/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
99	thermo	1421959872.306	     3.312	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/hfls/CLMcom/ICHEC-EC-EARTH/CCLM4-8-17/r12i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
75	litho	1421958688.289	  1280.434	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./unlinked/2015-01-19/EUR-11/rcp85/day/hfls/MPI-CSC/MPI-M-MPI-ESM-LR/REMO2009/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
101	litho	1421959968.732	     5.067	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/hfls/CLMcom/ICHEC-EC-EARTH/CCLM4-8-17/r12i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
35	atmos	1421956376.185	  3697.943	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./unlinked/2015-01-19/EUR-11/rcp45/day/pr/MPI-CSC/MPI-M-MPI-ESM-LR/REMO2009/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
103	atmos	1421960074.134	     2.355	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/ua850/KNMI/ICHEC-EC-EARTH/RACMO22E/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
104	atmos	1421960076.493	     2.267	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/ua850/KNMI/ICHEC-EC-EARTH/RACMO22E/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
59	atmos	1421957545.940	  2870.598	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/evspsbl/CLMcom/CNRM-CERFACS-CNRM-CM5/CCLM4-8-17/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
20	atmos	1421955397.826	  5036.687	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/hus850/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
107	atmos	1421960434.519	     3.070	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/va850/IPSL-INERIS/IPSL-IPSL-CM5A-MR/WRF331F/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
108	atmos	1421960437.599	     1.341	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/va850/IPSL-INERIS/IPSL-IPSL-CM5A-MR/WRF331F/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
109	atmos	1421960438.945	     0.893	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/ua850/CLMcom/CNRM-CERFACS-CNRM-CM5/CCLM4-8-17/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
110	atmos	1421960439.843	     1.095	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/ua850/CLMcom/CNRM-CERFACS-CNRM-CM5/CCLM4-8-17/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
111	atmos	1421960440.943	     0.881	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/zmla/IPSL-INERIS/IPSL-IPSL-CM5A-MR/WRF331F/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
112	atmos	1421960441.830	     1.105	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/zmla/IPSL-INERIS/IPSL-IPSL-CM5A-MR/WRF331F/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
113	atmos	1421960442.946	     0.692	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/ua850/CLMcom/ICHEC-EC-EARTH/CCLM4-8-17/r12i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
114	atmos	1421960443.643	     0.867	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/ua850/CLMcom/ICHEC-EC-EARTH/CCLM4-8-17/r12i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
17	atmos	1421955397.482	  5054.113	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./unlinked/2015-01-19/EUR-11/rcp85/day/hus850/DMI/ICHEC-EC-EARTH/HIRHAM5/r3i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
116	atmos	1421960451.607	     0.835	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/ua850/CLMcom/MPI-M-MPI-ESM-LR/CCLM4-8-17/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
68	atmos	1421958589.254	  2001.672	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/evspsbl/CLMcom/ICHEC-EC-EARTH/CCLM4-8-17/r12i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
118	atmos	1421960590.934	     1.056	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/ua850/CLMcom/MPI-M-MPI-ESM-LR/CCLM4-8-17/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
119	atmos	1421960592.002	     1.007	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp45/day/sfcWindmax/IPSL-INERIS/IPSL-IPSL-CM5A-MR/WRF331F/r1i1p1/1 148.187.1.7:/store/c2sm/c2sme/cordex
120	atmos	1421960593.017	     0.940	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./EUR-11/rcp85/day/sfcWindmax/IPSL-INERIS/IPSL-IPSL-CM5A-MR/WRF331F/r1i1p1/1 148.187.1.8:/store/c2sm/c2sme/cordex
82	bio	1421959354.747	  1261.872	0	0	0	0	rsync --delete -rvutR /net/atmos/data/CORDEX/./unlinked/2015-01-19/EUR-11/rcp85/day/va850/MPI-CSC/MPI-M-MPI-ESM-LR/REMO2009/r1i1p1/1 148.187.1.6:/store/c2sm/c2sme/cordex
